City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Punta Arenas,64,CL,1553407200,92,-53.1627,-70.9081,51.12,11.88
Shimoda,0,JP,1553407200,100,34.701,138.9287,55.18,5.61
Vaini,0,IN,1553407200,33,15.336,74.4926,104.52,3.71
Ixtapa,0,MX,1553407200,81,20.715,-105.2067,65.62,2.26
Mar del Plata,20,AR,1553407200,100,-46.4276,-67.5191,44.09,4.5
Katobu,24,ID,1553407200,76,-4.9409,122.5276,90.43,4.05
Geraldton,92,CA,1553407200,70,49.7189,-86.9494,20.51,12.21
Rikitea,48,PF,1553407200,98,-23.1203,-134.9692,79.1,18.14
Yulara,92,AU,1553407200,18,-25.2411,130.9869,98.99,4.83
Puerto Ayora,8,EC,1553407200,93,-0.7394,-90.3518,77.21,9.31
Hobart,24,AU,1553407200,52,-42.8826,147.3281,69.74,8.75
Nokaneng,0,BW,1553407200,48,-19.6622,22.1901,75.47,14.23
Victoria,12,BN,1553407200,94,5.2785,115.2423,87.55,11.21
Bada,0,NG,1553407200,28,12.4149,4.5075,72.17,9.86
Malappuram,0,IN,1553407200,70,11.041,76.0798,94.3,4.38
Juneau,92,US,1553407200,97,58.3019,-134.4198,42.37,3.38
Zyryanka,20,RU,1553407200,70,65.7336,150.8933,13.44,3.38
Kodiak,92,US,1553407200,95,39.9519,-94.7572,50.21,16.8
Ushuaia,92,AR,1553407200,100,-54.807,-68.3074,51.69,7.74
Norman Wells,12,CA,1553407200,88,65.2824,-126.8328,30.0,8.97
Thompson,0,CA,1553407200,48,55.7433,-97.8635,2.06,5.06
Upernavik,36,GL,1553407200,100,72.7868,-56.1549,-9.01,9.31
Albany,0,US,1553407200,55,42.6512,-73.755,30.77,7.85
Katsuura,12,JP,1553407200,66,33.9258,134.505,52.47,8.08
Male,68,UA,1553407200,82,50.7379,33.6978,39.13,4.72
Nouadhibou,0,MR,1553407200,99,20.931,-17.0347,62.31,8.97
Kaitangata,64,NZ,1553407200,92,-46.2818,169.8464,63.71,4.16
Chanute,56,US,1553407200,93,37.6792,-95.4573,55.43,19.82
Butaritari,92,KI,1553407200,100,3.0707,172.7902,82.4,13.67
Saskylakh,0,RU,1553407200,81,71.965,114.0939,-4.47,4.72
Busselton,0,AU,1553407200,93,-33.6445,115.3489,73.06,17.36
Atuona,92,PF,1553407200,98,-9.8,-139.0334,83.07,17.13
Hatillo,8,PR,1553407200,93,18.4864,-66.8258,76.4,12.88
Tasiilaq,0,GL,1553407200,100,65.6145,-37.6368,11.21,7.4
Coyula,88,MX,1553407200,95,20.9264,-98.4823,63.8,1.81
Negombo,0,LK,1553407200,83,7.2094,79.8331,88.93,4.38
Arraial do Cabo,20,BR,1553407200,96,-22.9663,-42.0245,76.22,7.74
Torbay,80,CA,1553407200,84,47.6577,-52.727,36.1,20.15
Bluff,0,AU,1553407200,39,-23.58,149.0661,94.15,9.53
Hermanus,76,ZA,1553407200,93,-34.4176,19.2361,63.84,1.92
Qaanaaq,8,GL,1553407200,87,77.484,-69.3633,-28.28,10.31
Saint George,68,GR,1553407200,85,39.4548,22.34,53.58,3.27
Dikson,68,RU,1553407200,99,73.5069,80.5464,21.76,23.96
Talara,32,PE,1553407200,84,-4.5797,-81.2719,72.44,3.38
Bogalusa,0,US,1553407200,96,30.791,-89.8487,50.48,2.93
Skibotn,88,NO,1553407200,100,69.3913,20.2679,31.98,2.59
Avarua,92,CK,1553407200,100,-21.2078,-159.775,74.87,5.28
Sitka,44,US,1553407200,87,37.175,-99.6516,43.64,3.71
Chuy,0,UY,1553407200,94,-33.6938,-53.4562,64.45,13.78
Ahipara,92,NZ,1553407200,90,-35.1665,173.1562,67.58,3.71
Saint-Augustin,0,FR,1553407200,76,44.8323,-0.6091,41.76,4.27
Nogales,12,US,1553407200,69,31.3402,-110.9361,42.35,2.48
Hilo,76,US,1553407200,100,19.7072,-155.0817,72.8,17.02
Naryan-Mar,68,RU,1553407200,89,67.6713,53.087,32.65,18.92
Kenora,68,CA,1553407200,74,49.7618,-94.4825,30.23,10.87
Tazovskiy,68,RU,1553407200,97,67.4667,78.7,18.93,4.83
Lompoc,0,US,1553407200,95,34.6392,-120.458,53.0,8.75
Castro,80,CL,1553407200,100,-42.4824,-73.7644,47.66,3.15
Barra Patuca,56,HN,1553407200,90,15.8,-84.2834,77.39,10.65
Cabo San Lucas,0,MX,1553407200,100,22.8938,-109.9112,69.56,10.76
Wajima,68,JP,1553407200,77,37.4,136.9,45.35,9.19
Cherskiy,12,RU,1553407200,59,68.75,161.3,4.94,2.37
Nelson,48,CA,1553407200,90,49.4949,-117.2901,29.87,1.7
Tuktoyaktuk,80,CA,1553407200,100,69.444,-133.032,20.51,27.87
Casablanca,80,MA,1553407200,99,33.5951,-7.6188,60.02,7.85
Cayenne,92,GF,1553407200,97,4.9371,-52.3259,76.15,7.18
Saint-Philippe,0,CA,1553407200,78,45.3584,-73.4791,25.5,10.31
Gizo,68,IL,1553407200,96,31.8041,34.9381,58.96,2.37
Makasar,20,ID,1553407200,90,-6.2761,106.877,89.74,11.99
